source;expected;actual;equals
article27;"The obligation laid down in paragraph 1 of this Article shall not apply to processing which is occasional, does not include, on a large scale, processing of special categories of data as referred to in Article 9(1) or processing of personal data relating to criminal convictions and offences referred to in Article 10, and is unlikely to result in a risk to the rights and freedoms of natural persons, taking into account the nature, context, scope and purposes of the processing by the processor.";"The obligation laid down in paragraph 1 of this Article shall not apply to processing by the processor which is occasional, does not include, on a large scale, processing of special categories of data as referred to in Article 9(1) or processing of personal data relating to criminal convictions and offences referred to in Article 10, and is unlikely to result in a risk to the rights and freedoms of natural persons, taking into account the nature, context, scope and purposes of the processing.";False
article27;"The representative shall be established by the controller in one of the Member States where the data subjects, whose personal data are processed by the processor in relation to the offering of goods or services to them, or whose behaviour is monitored, are.";"The representative shall be established by the controller in one of the Member States where the data subjects, whose personal data are processed by the processor in relation to the offering of goods or services to them, or whose behaviour is monitored, are.";True
article28;"Processing by a processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing by the processor, the nature and purpose of the processing by the processor, the type of personal data and categories of data subjects and the obligations and rights of the controller.";"Processing by a processor by the processor shall be governed by a contract or other legal act under Union or Member State law, that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing by the processor, the nature and purpose of the processing, the type of personal data and categories of data subjects and the obligations and rights of the controller.";False
article28;"That contract or other legal act shall stipulate, in particular, that the processor processes the personal data only on documented instructions from the controller, including with regard to transfers of personal data by the processor to a third country or an international organisation, unless required to do so by Union or Member State law to which the processor is subject; in such a case, the processor shall inform the controller of that legal requirement before processing, unless that law prohibits such information on important grounds of public interest;.";"That contract or other legal act shall stipulate, in particular, that the processor processes the personal data only on documented instructions from the controller, including with regard to transfers by the processor of personal data to a third country or an international organisation, unless required to do so by Union or Member State law to which the processor is subject; in such a case, the processor shall inform the controller of that legal requirement before processing, unless that law prohibits such information on important grounds of public interest;.";False
article28;"Adherence of a processor to an approved code of conduct as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used by the controller as an element by which to demonstrate sufficient guarantees as referred to in paragraphs 1 and 4 of this Article.";"Adherence of a processor to an approved code of conduct as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used by the controller as an element by which to demonstrate sufficient guarantees as referred to in paragraphs 1 and 4 of this Article.";True
article32;"In the controller assessing the appropriate level of security account shall be taken by the controller in particular of the risks that are presented by processing by the processor, in particular from accidental or unlawful destruction by the processor, loss by the processor, alteration by the processor, unauthorised disclosure by the processor of, or access to personal data transmitted by the processor, stored by the processor or otherwise processed by the processor.";"In assessing by the controller the appropriate level of security account shall be taken by the controller in particular of the risks that are presented by processing by the processor, in particular from accidental or unlawful destruction by the processor, loss by the processor, alteration by the processor, unauthorised disclosure of by the processor, or access to personal data transmitted by the processor, stored by the processor or otherwise processed by the processor.";False
article32;"Adherence to an approved code of conduct by the controller and the processor as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used as an element by which to demonstrate compliance with the requirements set out in paragraph 1 of this Article.";"Adherence to an approved code of conduct as referred to in Article 40 or an approved certification mechanism as referred to in Article 42 may be used by the controller as an element by which to demonstrate compliance with the requirements set out in paragraph 1 of this Article.";False
article33;"Where the notification to the supervisory authority is not made by the controller within 72 hours, it shall be accompanied by reasons for the delay.";"Where the notification to the supervisory authority is not made within 72 hours by the controller, it shall be accompanied by reasons for the delay.";False
article33;"The notification by the controller referred to in paragraph 1 shall at least describe the nature of the personal data breach including where possible, the categories and approximate number of data subjects concerned and the categories and approximate number of personal data records concerned.";"The notification by the controller referred to in paragraph 1 shall at least describe the nature of the personal data breach including where possible, the categories and approximate number of data subjects concerned and the categories and approximate number of personal data records concerned.";True
article33;"The notification by the controller referred to in paragraph 1 shall at least communicate the name and contact details of the data protection officer or other contact point where more information can be obtained by the controller.";"The notification by the controller referred to in paragraph 1 shall at least communicate the name and contact details of the data protection officer or other contact point where more information can be obtained by the controller.";True
article33;"The notification by the controller referred to in paragraph 1 shall at least describe the likely consequences of the personal data breach.";"The notification by the controller referred to in paragraph 1 shall at least describe the likely consequences of the personal data breach.";True
article33;"The notification by the controller referred to in paragraph 1 shall at least describe the measures taken or proposed to be taken by the controller to address the personal data breach, including, where appropriate, measures to mitigate its possible adverse effects.";"The notification by the controller referred to in paragraph 1 shall at least describe the measures taken or proposed to be taken by the controller to address the personal data breach, including, where appropriate, measures to mitigate its possible adverse effects.";True
article33;"Where, and in so far as, it is not possible for the controller to provide the information at the same time, the information may be provided by the controller in phases without undue further delay.";"Where, and in so far as, it is not possible to provide the information at the same time by the controller, the information may be provided in phases without undue further delay by the controller.";False
article33;"That documentation by the controller shall enable the supervisory authority to verify compliance with this Article.";"That documentation by the controller shall enable the supervisory authority to verify compliance with this Article.";True
