source CELEX or GDPR article;original regulation sentence;implict actor present;verb with missing actor;type of occurance;identified implict actor;actor enhanced sentence;Notes Lukas;Notes Kate;General notes;
article9;Paragraph 1 shall not apply if processing is necessary for reasons of public interest in the area of public health, such as protecting against serious cross-border threats to health or ensuring high standards of quality and safety of health care and of medicinal products or medical devices, on the basis of Union or Member State law which provides for suitable and specific measures to safeguard the rights and freedoms of the data subject, in particular professional secrecy.;y;processing;action_noun;processor;Paragraph 1 shall not apply if processing by the processor is necessary for reasons of public interest in the area of public health, such as protecting against serious cross-border threats to health or ensuring high standards of quality and safety of health care and of medicinal products or medical devices, on the basis of Union or Member State law which provides for suitable and specific measures to safeguard the rights and freedoms of the data subject, in particular professional secrecy.;;;;
article9;Paragraph 1 shall not apply if processing is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) based on Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject.;y;processing;action_noun;processor;Paragraph 1 shall not apply if processing by the processor is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) based on Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject.;;;;
article9;Personal data referred to in paragraph 1 may be processed for the purposes referred to in point (h) of paragraph 2 when those data are processed by or under the responsibility of a professional subject to the obligation of professional secrecy under Union or Member State law or rules established by national competent bodies or by another person also subject to an obligation of secrecy under Union or Member State law or rules established by national competent bodies.;y;processing;action_noun;processor;Personal data referred to in paragraph 1 may be processed by the processor for the purposes referred to in point (h) of paragraph 2 when those data are processed by or under the responsibility of a professional subject to the obligation of professional secrecy under Union or Member State law or rules established by national competent bodies or by another person also subject to an obligation of secrecy under Union or Member State law or rules established by national competent bodies.;;;;
article9;Member States may maintain or introduce further conditions, including limitations, with regard to the processing of genetic data, biometric data or data concerning health.;n;;;;;;;;
article10;Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects.;y;processing;action_noun;processor;Processing of personal data by the processor relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects.;;;;
article10;Any comprehensive register of criminal convictions shall be kept only under the control of official authority.;y;kept;passive;controller;Any comprehensive register of criminal convictions shall be kept only under the control of official authority by the controller.;;;;
article11;If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller, the controller shall not be obliged to maintain, acquire or process additional information in order to identify the data subject for the sole purpose of complying with this Regulation.;n;;;;;;;;
article11;Where, in cases referred to in paragraph 1 of this Article, the controller is able to demonstrate that it is not in a position to identify the data subject, the controller shall inform the data subject accordingly, if possible. ;n;;;;;;;;
article11;In such cases, Articles 15 to 20 shall not apply except where the data subject, for the purpose of exercising his or her rights under those articles, provides additional information enabling his or her identification.;n;;;;;;;;
article12;The controller shall take appropriate measures to provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subject in a concise, transparent, intelligible and easily accessible form, using clear and plain language, in particular for any information addressed specifically to a child.;n;;;;;;;;
article12;The information shall be provided in writing, or by other means, including, where appropriate, by electronic means.;y;provided;passive;controller;The information shall be provided by the controller in writing, or by other means, including, where appropriate, by electronic means.;;;;
article12;When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means.;y;provided;passive;controller;When requested by the data subject, the information may be provided orally by the controller, provided that the identity of the data subject is proven by other means.;;;;
article12;The controller shall facilitate the exercise of data subject rights under Articles 15 to 22. ;n;;;;;;;;
article12;In the cases referred to in Article 11(2), the controller shall not refuse to act on the request of the data subject for exercising his or her rights under Articles 15 to 22, unless the controller demonstrates that it is not in a position to identify the data subject.;n;;;;;;;;
article12;The controller shall provide information on action taken on a request under Articles 15 to 22 to the data subject without undue delay and in any event within one month of receipt of the request. ;n;;;;;;;;
article12;That period may be extended by two further months where necessary, taking into account the complexity and number of the requests.;y;extended;passive;controller;That period may be extended by the controller by two further months where necessary, taking into account the complexity and number of the requests.;;;;
article12; The controller shall inform the data subject of any such extension within one month of receipt of the request, together with the reasons for the delay.;n;;;;;;;;
article12;Where the data subject makes the request by electronic form means, the information shall be provided by electronic means where possible, unless otherwise requested by the data subject.;y;provided;passive;controller;Where the data subject makes the request by electronic form means, the information shall be provided by the controller by electronic means where possible, unless otherwise requested by the data subject.;;;;
article12;If the controller does not take action on the request of the data subject, the controller shall inform the data subject without delay and at the latest within one month of receipt of the request of the reasons for not taking action and on the possibility of lodging a complaint with a supervisory authority and seeking a judicial remedy.;n;;;;;;;;
article12;Information provided under Articles 13 and 14 and any communication and any actions taken under Articles 15 to 22 and 34 shall be provided free of charge.;i;provided;passive;;;;;;
article12;Information provided under Articles 13 and 14 and any communication and any actions taken under Articles 15 to 22 and 34 shall be provided free of charge.;y;provided;passive;controller;Information provided under Articles 13 and 14 and any communication and any actions taken by the controller under Articles 15 to 22 and 34 shall be provided by the controller free of charge.;;;;
article12;Information provided under Articles 13 and 14 and any communication and any actions taken under Articles 15 to 22 and 34 shall be provided free of charge.;i;taken;passive;controller;Information provided under Articles 13 and 14 and any communication and any actions taken by the controller under Articles 15 to 22 and 34 shall be provided by the controller free of charge.;;;;
article12;Where requests from a data subject are manifestly unfounded or excessive, in particular because of their repetitive character, the controller may charge a reasonable fee taking into account the administrative costs of providing the information or communication or taking the action requested.;n;;;;;;;;
article12;Where requests from a data subject are manifestly unfounded or excessive, in particular because of their repetitive character, the controller may refuse to act on the request.;n;;;;;;;;
article12;The controller shall bear the burden of demonstrating the manifestly unfounded or excessive character of the request.;n;;;;;;;;
article12;Without prejudice to Article 11, where the controller has reasonable doubts concerning the identity of the natural person making the request referred to in Articles 15 to 21, the controller may request the provision of additional information necessary to confirm the identity of the data subject.;n;;;;;;;;
article12;The information to be provided to data subjects pursuant to Articles 13 and 14 may be provided in combination with standardised icons in order to give in an easily visible, intelligible and clearly legible manner a meaningful overview of the intended processing.;y;provided;passive;controller;The information to be provided by the controller to data subjects pursuant to Articles 13 and 14 may be provided by the controller in combination with standardised icons in order to give in an easily visible, intelligible and clearly legible manner a meaningful overview of the intended processing.;;;;
article12;The information to be provided to data subjects pursuant to Articles 13 and 14 may be provided in combination with standardised icons in order to give in an easily visible, intelligible and clearly legible manner a meaningful overview of the intended processing.;y;provided;passive;controller;The information to be provided by the controller to data subjects pursuant to Articles 13 and 14 may be provided by the controller in combination with standardised icons in order to give in an easily visible, intelligible and clearly legible manner a meaningful overview of the intended processing.;;;;
article12;Where the icons are presented electronically they shall be machine-readable.;y;presented;passive;controller;Where the icons are presented by the controller electronically they shall be machine-readable.;;;;
article12;The Commission shall be empowered to adopt delegated acts in accordance with Article 92 for the purpose of determining the information to be presented by the icons and the procedures for providing standardised icons.;n;;;;;;;;
article13;Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with the identity and the contact details of the controller and, where applicable, of the controller’s representative.;n;;;;;;;;
article13;Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with the contact details of the data protection officer, where applicable.;n;;;;;;;;
article13;Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with the purposes of the processing for which the personal data are intended as well as the legal basis for the processing.;n;;;;;;;;
article13;Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by the controller or by a third party.;n;;;;;;;;
article13;Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with the recipients or categories of recipients of the personal data, if any.;n;;;;;;;;
article13;Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with where applicable, the fact that the controller intends to transfer personal data to a third country or international organisation and the existence or absence of an adequacy decision by the Commission, or in the case of transfers referred to in Article 46 or 47, or the second subparagraph of Article 49(1), reference to the appropriate or suitable safeguards and the means by which to obtain a copy of them or where they have been made available.;n;;;;;;;;
article13;In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing: the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period.;n;;;;;;;;
article13;In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing: the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject or to object to processing as well as the right to data portability.;n;;;;;;;;
article13;In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing: where the processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal.;n;;;;;;;;
article13;In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing: the right to lodge a complaint with a supervisory authority.;n;;;;;;;;
article13;In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing: whether the provision of personal data is a statutory or contractual requirement, or a requirement necessary to enter into a contract, as well as whether the data subject is obliged to provide the personal data and of the possible consequences of failure to provide such data.;n;;;;;;;;
article13;In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing: the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.;n;;;;;;;;
article13;Where the controller intends to further process the personal data for a purpose other than that for which the personal data were collected, the controller shall provide the data subject prior to that further processing with information on that other purpose and with any relevant further information as referred to in paragraph 2.;n;;;;;;;;
article13;Paragraphs 1, 2 and 3 shall not apply where and insofar as the data subject already has the information.;n;;;;;;;;
article14;Where personal data have not been obtained from the data subject, the controller shall provide the data subject with the identity and the contact details of the controller and, where applicable, of the controller’s representative.;n;;;;;;;;
article14;Where personal data have not been obtained from the data subject, the controller shall provide the data subject with the contact details of the data protection officer, where applicable.;n;;;;;;;;
article14;Where personal data have not been obtained from the data subject, the controller shall provide the data subject with the purposes of the processing for which the personal data are intended as well as the legal basis for the processing.;n;;;;;;;;
article14;Where personal data have not been obtained from the data subject, the controller shall provide the data subject with the categories of personal data concerned.;n;;;;;;;;
article14;Where personal data have not been obtained from the data subject, the controller shall provide the data subject with the recipients or categories of recipients of the personal data, if any.;n;;;;;;;;
article14;Where personal data have not been obtained from the data subject, the controller shall provide the data subject with where applicable, that the controller intends to transfer personal data to a recipient in a third country or international organisation and the existence or absence of an adequacy decision by the Commission, or in the case of transfers referred to in Article 46 or 47, or the second subparagraph of Article 49(1), reference to the appropriate or suitable safeguards and the means to obtain a copy of them or where they have been made available.;n;;;;;;;;
article14;In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period.;y;stored;passive;processor;In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: the period for which the personal data will be stored by the processor, or if that is not possible, the criteria used to determine that period.;;;;
article14;In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by the controller or by a third party.;n;;;;;;;;
article14;In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject and to object to processing as well as the right to data portability.;n;;;;;;;;
article14;In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: where processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal.;y;processing;action_noun;processor;In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: where processing by the processor is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right of the data subject to withdraw consent at any time, without affecting the lawfulness of processing by the processor based on consent before its withdrawal by the data subject.;;;"insertion: ""of"" instead of ""by"" needed";
article14;In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: where processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal.;y;withdraw;infinitive;data subject;In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: where processing by the processor is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right of the data subject to withdraw consent at any time, without affecting the lawfulness of processing by the processor based on consent before its withdrawal by the data subject.;;;;
article14;In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: where processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal.;y;processing;action_noun;processor;In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: where processing by the processor is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right of the data subject to withdraw consent at any time, without affecting the lawfulness of processing by the processor based on consent before its withdrawal by the data subject.;;;;
article14;In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: where processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal.;y;withdrawal;action_noun;data subject;In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: where processing by the processor is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right of the data subject to withdraw consent at any time, without affecting the lawfulness of processing by the processor based on consent before its withdrawal by the data subject.;;;;
article14;In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: the right to lodge a complaint with a supervisory authority.;n;;;;;;;;
article14;In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: from which source the personal data originate, and if applicable, whether it came from publicly accessible sources.;n;;;;;;;;
article14;In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject: the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.;n;;;;;;;;
article14;The controller shall provide the information referred to in paragraphs 1 and 2 within a reasonable period after obtaining the personal data, but at the latest within one month, having regard to the specific circumstances in which the personal data are processed.;y;processed;passive;processor;The controller shall provide the information referred to in paragraphs 1 and 2 within a reasonable period after obtaining the personal data, but at the latest within one month, having regard to the specific circumstances in which the personal data are processed by the processor.;;;;
article14;The controller shall provide the information referred to in paragraphs 1 and 2 if the personal data are to be used for communication with the data subject, at the latest at the time of the first communication to that data subject.;y;used;passive;controller;The controller shall provide the information referred to in paragraphs 1 and 2 if the personal data are to be used by the controller for communication with the data subject, at the latest at the time of the first communication to that data subject.;;;;
article14;The controller shall provide the information referred to in paragraphs 1 and 2 if a disclosure to another recipient is envisaged, at the latest when the personal data are first disclosed.;y;envisaged;passive;controller;The controller shall provide the information referred to in paragraphs 1 and 2 if a disclosure to another recipient is envisaged by the controller, at the latest when the personal data are first disclosed by the controller.;;;;
article14;The controller shall provide the information referred to in paragraphs 1 and 2 if a disclosure to another recipient is envisaged, at the latest when the personal data are first disclosed.;y;disclosed;passive;controller;The controller shall provide the information referred to in paragraphs 1 and 2 if a disclosure to another recipient is envisaged by the controller, at the latest when the personal data are first disclosed by the controller.;;;;
article14;Where the controller intends to further process the personal data for a purpose other than that for which the personal data were obtained, the controller shall provide the data subject prior to that further processing with information on that other purpose and with any relevant further information as referred to in paragraph 2.;n;;;;;;;;
article14;Paragraphs 1 to 4 shall not apply where and insofar as the data subject already has the information.;n;;;;;;;;
article14;Paragraphs 1 to 4 shall not apply where and insofar as the provision of such information proves impossible or would involve a disproportionate effort, in particular for processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes, subject to the conditions and safeguards referred to in Article 89(1) or in so far as the obligation referred to in paragraph 1 of this Article is likely to render impossible or seriously impair the achievement of the objectives of that processing.;y;processing;action_noun;processor;Paragraphs 1 to 4 shall not apply where and insofar as the provision of such information by the controller proves impossible or would involve a disproportionate effort, in particular for processing by the processor for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes, subject to the conditions and safeguards referred to in Article 89(1) or in so far as the obligation referred to in paragraph 1 of this Article is likely to render impossible or seriously impair the achievement of the objectives of that processing.;;;;
article14;Paragraphs 1 to 4 shall not apply where and insofar as the provision of such information proves impossible or would involve a disproportionate effort, in particular for processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes, subject to the conditions and safeguards referred to in Article 89(1) or in so far as the obligation referred to in paragraph 1 of this Article is likely to render impossible or seriously impair the achievement of the objectives of that processing.;y;provision;action_noun;controller;Paragraphs 1 to 4 shall not apply where and insofar as the provision of such information by the controller proves impossible or would involve a disproportionate effort, in particular for processing by the processor for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes, subject to the conditions and safeguards referred to in Article 89(1) or in so far as the obligation referred to in paragraph 1 of this Article is likely to render impossible or seriously impair the achievement of the objectives of that processing.;;;;
article14;"In such cases the controller shall take appropriate measures to protect the data subject’s rights and freedoms and legitimate interests, including making the information publicly available;";n;;;;;;;;
article14;Paragraphs 1 to 4 shall not apply where and insofar as obtaining or disclosure is expressly laid down by Union or Member State law to which the controller is subject and which provides appropriate measures to protect the data subject’s legitimate interests.;n;;;;;;;;
article14;Paragraphs 1 to 4 shall not apply where and insofar as where the personal data must remain confidential subject to an obligation of professional secrecy regulated by Union or Member State law, including a statutory obligation of secrecy.;n;;;;;;;;
article15;The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the purposes of the processing.;n;;;;;;;;
article15;The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the categories of personal data concerned.;n;;;;;;;;
article15;The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the recipients or categories of recipient to whom the personal data have been or will be disclosed, in particular recipients in third countries or international organisations.;n;;;;;;;;
article15;The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and where possible, the envisaged period for which the personal data will be stored, or, if not possible, the criteria used to determine that period.;n;;;;;;;;
article15;The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the existence of the right to request from the controller rectification or erasure of personal data or restriction of processing of personal data concerning the data subject or to object to such processing.;n;;;;;;;;
article15;The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the right to lodge a complaint with a supervisory authority.;n;;;;;;;;
article15;The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and where the personal data are not collected from the data subject, any available information as to their source.;n;;;;;;;;
article15;The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.;n;;;;;;;;
article15;Where personal data are transferred to a third country or to an international organisation, the data subject shall have the right to be informed of the appropriate safeguards pursuant to Article 46 relating to the transfer.;y;transferred;passive;processor;Where personal data are transferred by the processor to a third country or to an international organisation, the data subject shall have the right to be informed by the controller of the appropriate safeguards pursuant to Article 46 relating to the transfer.;;;;
article15;Where personal data are transferred to a third country or to an international organisation, the data subject shall have the right to be informed of the appropriate safeguards pursuant to Article 46 relating to the transfer.;y;informed;passive;controller;Where personal data are transferred by the processor to a third country or to an international organisation, the data subject shall have the right to be informed by the controller of the appropriate safeguards pursuant to Article 46 relating to the transfer.;;;;
article15;The controller shall provide a copy of the personal data undergoing processing. ;n;;;;;;;;
article15;For any further copies requested by the data subject, the controller may charge a reasonable fee based on administrative costs.;n;;;;;;;;
article15;Where the data subject makes the request by electronic means, and unless otherwise requested by the data subject, the information shall be provided in a commonly used electronic form.;n;;;;;;;;
article15;The right to obtain a copy referred to in paragraph 3 shall not adversely affect the rights and freedoms of others.;n;;;;;;;;
article16;The data subject shall have the right to obtain from the controller without undue delay the rectification of inaccurate personal data concerning him or her. ;n;;;;;;;;
article16;Taking into account the purposes of the processing, the data subject shall have the right to have incomplete personal data completed, including by means of providing a supplementary statement.;n;;;;;;;;
article17;The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where the personal data are no longer necessary in relation to the purposes for which they were collected or otherwise processed.;n;;;;;;;;
article17;The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where the data subject withdraws consent on which the processing is based according to point (a) of Article 6(1), or point (a) of Article 9(2), and where there is no other legal ground for the processing.;n;;;;;;;;
article17;The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where the data subject objects to the processing pursuant to Article 21(1) and there are no overriding legitimate grounds for the processing, or the data subject objects to the processing pursuant to Article 21(2).;n;;;;;;;;
article17;The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where the personal data have been unlawfully processed.;n;;;;;;;;
article17;The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where the personal data have to be erased for compliance with a legal obligation in Union or Member State law to which the controller is subject.;n;;;;;;;;
article17;The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where the personal data have been collected in relation to the offer of information society services referred to in Article 8(1).;n;;;;;;;;
article17;Where the controller has made the personal data public and is obliged pursuant to paragraph 1 to erase the personal data, the controller, taking account of available technology and the cost of implementation, shall take reasonable steps, including technical measures, to inform controllers which are processing the personal data that the data subject has requested the erasure by such controllers of any links to, or copy or replication of, those personal data.;n;;;;;;;;
article17;Paragraphs 1 and 2 shall not apply to the extent that processing is necessary for exercising the right of freedom of expression and information.;n;;;;;;;;
article17;Paragraphs 1 and 2 shall not apply to the extent that processing is necessary for compliance with a legal obligation which requires processing by Union or Member State law to which the controller is subject or for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.;n;;;;;;;;
article17;Paragraphs 1 and 2 shall not apply to the extent that processing is necessary for reasons of public interest in the area of public health in accordance with points (h) and (i) of Article 9(2) as well as Article 9(3).;n;;;;;;;;
article17;Paragraphs 1 and 2 shall not apply to the extent that processing is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) in so far as the right referred to in paragraph 1 is likely to render impossible or seriously impair the achievement of the objectives of that processing.;n;;;;;;;;
article17;Paragraphs 1 and 2 shall not apply to the extent that processing is necessary for the establishment, exercise or defence of legal claims.;n;;;;;;;;
article18;The data subject shall have the right to obtain from the controller restriction of processing where the accuracy of the personal data is contested by the data subject, for a period enabling the controller to verify the accuracy of the personal data.;n;;;;;;;;
article18;The data subject shall have the right to obtain from the controller restriction of processing where the processing is unlawful and the data subject opposes the erasure of the personal data and requests the restriction of their use instead.;n;;;;;;;;
article18;The data subject shall have the right to obtain from the controller restriction of processing where the controller no longer needs the personal data for the purposes of the processing, but they are required by the data subject for the establishment, exercise or defence of legal claims.;n;;;;;;;;
article18;The data subject shall have the right to obtain from the controller restriction of processing where the data subject has objected to processing pursuant to Article 21(1) pending the verification whether the legitimate grounds of the controller override those of the data subject.;n;;;;;;;;
article18;Where processing has been restricted under paragraph 1, such personal data shall, with the exception of storage, only be processed with the data subject’s consent or for the establishment, exercise or defence of legal claims or for the protection of the rights of another natural or legal person or for reasons of important public interest of the Union or of a Member State.;y;processing;action_noun;processor;Where processing by the processor has been restricted under paragraph 1, such personal data shall, with the exception of storage, only be processed by the processor with the data subject’s consent or for the establishment, exercise or defence of legal claims or for the protection of the rights of another natural or legal person or for reasons of important public interest of the Union or of a Member State.;;;;
article18;Where processing has been restricted under paragraph 1, such personal data shall, with the exception of storage, only be processed with the data subject’s consent or for the establishment, exercise or defence of legal claims or for the protection of the rights of another natural or legal person or for reasons of important public interest of the Union or of a Member State.;i;restricted;passive;;;;;;
article18;Where processing has been restricted under paragraph 1, such personal data shall, with the exception of storage, only be processed with the data subject’s consent or for the establishment, exercise or defence of legal claims or for the protection of the rights of another natural or legal person or for reasons of important public interest of the Union or of a Member State.;y;processed;passive;processor;Where processing by the processor has been restricted under paragraph 1, such personal data shall, with the exception of storage, only be processed by the processor with the data subject’s consent or for the establishment, exercise or defence of legal claims or for the protection of the rights of another natural or legal person or for reasons of important public interest of the Union or of a Member State.;;;;
article18;A data subject who has obtained restriction of processing pursuant to paragraph 1 shall be informed by the controller before the restriction of processing is lifted.;n;;;;;;;;
article19;The controller shall communicate any rectification or erasure of personal data or restriction of processing carried out in accordance with Article 16, Article 17(1) and Article 18 to each recipient to whom the personal data have been disclosed, unless this proves impossible or involves disproportionate effort. ;n;;;;;;;;
article19;The controller shall inform the data subject about those recipients if the data subject requests it.;n;;;;;;;;
article20;The data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machine-readable format and have the right to transmit those data to another controller without hindrance from the controller to which the personal data have been provided, where the processing is based on consent pursuant to point (a) of Article 6(1) or point (a) of Article 9(2) or on a contract pursuant to point (b) of Article 6(1).;n;;;;;;;;
article20;The data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machine-readable format and have the right to transmit those data to another controller without hindrance from the controller to which the personal data have been provided, where the processing is carried out by automated means.;n;;;;;;;;
